Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
,June 2013,$150K,8.2%,24.7%,35,-7.9%,16.7%,42,0.0%,10.5%,156,4.7%,6.1%,114,83,45,99.1%,0.1%,-1.8%
,July 2013,$144K,-4.1%,18.4%,35,0.0%,9.4%,55,31.0%,66.7%,169,8.3%,7.6%,43,-71,19,102.3%,3.2%,0.6%
,August 2013,$150K,4.2%,5.3%,44,25.7%,76.0%,44,-20.0%,33.3%,176,4.1%,9.3%,35,-8,-102,100.1%,-2.2%,-0.6%
,September 2013,$147K,-1.7%,24.1%,27,-38.6%,-20.6%,40,-9.1%,5.3%,190,8.0%,15.9%,49,14,-46,99.3%,-0.8%,-2.2%
,October 2013,$154K,4.6%,29.2%,24,-11.1%,-35.1%,37,-7.5%,48.0%,205,7.9%,24.2%,49,0,-26,98.8%,-0.4%,-1.1%
,November 2013,$138K,-10.0%,11.7%,18,-25.0%,-28.0%,38,2.7%,72.7%,221,7.8%,36.4%,73,24,-46,100.8%,1.9%,0.3%
,December 2013,$151K,9.0%,24.1%,26,44.4%,-27.8%,22,-42.1%,37.5%,212,-4.1%,52.5%,83,10,-20,98.6%,-2.1%,-1.8%
,January 2014,$145K,-3.8%,17.1%,27,3.8%,170.0%,21,-4.5%,40.0%,211,-0.5%,57.5%,73,-10,-13,97.6%,-1.0%,-2.0%
,February 2014,$141K,-2.9%,8.5%,23,-14.8%,-8.0%,61,190.5%,38.6%,234,10.9%,60.3%,74,1,-21,98.8%,1.2%,-1.5%
,March 2014,$150K,6.2%,6.2%,38,65.2%,35.7%,38,-37.7%,11.8%,222,-5.1%,56.3%,80,6,-20,98.8%,-0.1%,-0.8%
,April 2014,$136K,-9.5%,1.4%,39,2.6%,2.6%,41,7.9%,13.9%,210,-5.4%,40.0%,51,-29,37,99.6%,0.9%,0.4%
,May 2014,$152K,12.0%,9.7%,40,2.6%,5.3%,52,26.8%,23.8%,215,2.4%,44.3%,70,19,39,100.3%,0.7%,1.3%
,June 2014,$155K,1.8%,3.3%,42,5.0%,20.0%,31,-40.4%,-26.2%,208,-3.3%,33.3%,95,25,-19,98.8%,-1.5%,-0.3%
,July 2014,$162K,5.0%,13.0%,42,0.0%,20.0%,45,45.2%,-18.2%,211,1.4%,24.9%,42,-53,-1,98.8%,-0.0%,-3.5%
,August 2014,$143K,-11.7%,-4.2%,40,-4.8%,-9.1%,32,-28.9%,-27.3%,203,-3.8%,15.3%,68,26,33,98.7%,-0.1%,-1.4%
,September 2014,$156K,9.0%,6.2%,28,-30.0%,3.7%,40,25.0%,0.0%,200,-1.5%,5.3%,78,10,29,99.6%,0.9%,0.4%
,October 2014,$141K,-9.7%,-8.3%,38,35.7%,58.3%,20,-50.0%,-45.9%,189,-5.5%,-7.8%,49,-29,0,99.1%,-0.6%,0.2%
,November 2014,$148K,5.0%,6.9%,25,-34.2%,38.9%,20,0.0%,-47.4%,177,-6.3%,-19.9%,70,21,-3,98.9%,-0.2%,-1.9%
,December 2014,$147K,-0.4%,-2.3%,30,20.0%,15.4%,17,-15.0%,-22.7%,166,-6.2%,-21.7%,147,77,64,99.0%,0.1%,0.4%
,January 2015,$155K,5.1%,6.7%,19,-36.7%,-29.6%,25,47.1%,19.0%,175,5.4%,-17.1%,97,-50,24,98.3%,-0.6%,0.7%
,February 2015,$166K,6.8%,17.4%,18,-5.3%,-21.7%,51,104.0%,-16.4%,178,1.7%,-23.9%,114,17,40,97.8%,-0.5%,-1.0%
,March 2015,$167K,0.6%,11.2%,30,66.7%,-21.1%,41,-19.6%,7.9%,193,8.4%,-13.1%,55,-59,-25,99.5%,1.7%,0.7%
,April 2015,$180K,7.8%,32.5%,37,23.3%,-5.1%,48,17.1%,17.1%,186,-3.6%,-11.4%,170,115,119,99.8%,0.3%,0.1%
,May 2015,$169K,-5.6%,11.7%,48,29.7%,20.0%,50,4.2%,-3.8%,172,-7.5%,-20.0%,45,-125,-25,99.5%,-0.3%,-0.8%
,June 2015,$154K,-9.2%,-0.5%,49,2.1%,16.7%,58,16.0%,87.1%,190,10.5%,-8.7%,41,-4,-54,99.6%,0.1%,0.8%
,July 2015,$160K,4.3%,-1.1%,44,-10.2%,4.8%,47,-19.0%,4.4%,184,-3.2%,-12.8%,41,0,-1,98.8%,-0.8%,-0.0%
,August 2015,$163K,1.6%,13.8%,48,9.1%,20.0%,40,-14.9%,25.0%,168,-8.7%,-17.2%,21,-20,-47,99.8%,1.1%,1.1%
,September 2015,$151K,-7.2%,-3.2%,36,-25.0%,28.6%,44,10.0%,10.0%,171,1.8%,-14.5%,38,17,-40,100.3%,0.4%,0.7%
,October 2015,$169K,11.8%,19.9%,36,0.0%,-5.3%,46,4.5%,130.0%,173,1.2%,-8.5%,22,-16,-27,99.6%,-0.7%,0.5%
,November 2015,$167K,-1.2%,12.8%,27,-25.0%,8.0%,34,-26.1%,70.0%,163,-5.8%,-7.9%,53,31,-17,99.4%,-0.2%,0.5%
,December 2015,$167K,0.3%,13.6%,56,107.4%,86.7%,54,58.8%,217.6%,189,16.0%,13.9%,68,15,-79,99.8%,0.4%,0.8%
,January 2016,$167K,-0.3%,7.7%,33,-41.1%,73.7%,32,-40.7%,28.0%,182,-3.7%,4.0%,284,216,187,100.0%,0.2%,1.7%
,February 2016,$193K,15.3%,16.3%,40,21.2%,122.2%,40,25.0%,-21.6%,161,-11.5%,-9.6%,58,-226,-56,99.8%,-0.2%,2.0%
,March 2016,$175K,-9.3%,4.8%,59,47.5%,96.7%,69,72.5%,68.3%,162,0.6%,-16.1%,110,52,55,100.0%,0.2%,0.5%
,April 2016,$170K,-2.6%,-5.3%,63,6.8%,70.3%,45,-34.8%,-6.3%,159,-1.9%,-14.5%,44,-66,-126,99.8%,-0.1%,0.1%
,May 2016,$188K,10.9%,11.2%,60,-4.8%,25.0%,101,124.4%,102.0%,186,17.0%,8.1%,38,-6,-7,100.3%,0.4%,0.8%
,June 2016,$187K,-0.7%,21.7%,59,-1.7%,20.4%,74,-26.7%,27.6%,194,4.3%,2.1%,22,-16,-19,100.4%,0.1%,0.9%
,July 2016,$179K,-4.3%,11.6%,69,16.9%,56.8%,69,-6.8%,46.8%,207,6.7%,12.5%,14,-8,-27,100.1%,-0.3%,1.4%
,August 2016,$200K,11.6%,22.5%,56,-18.8%,16.7%,55,-20.3%,37.5%,217,4.8%,29.2%,30,16,9,100.0%,-0.1%,0.2%
,September 2016,$200K,0.2%,32.3%,57,1.8%,58.3%,62,12.7%,40.9%,222,2.3%,29.8%,45,15,7,99.9%,-0.1%,-0.4%
,October 2016,$199K,-0.7%,17.6%,52,-8.8%,44.4%,46,-25.8%,0.0%,211,-5.0%,22.0%,34,-11,12,100.5%,0.6%,0.9%
,November 2016,$219K,10.2%,31.2%,63,21.2%,133.3%,44,-4.3%,29.4%,213,0.9%,30.7%,34,0,-19,99.9%,-0.6%,0.5%
,December 2016,$202K,-7.8%,20.6%,67,6.3%,19.6%,39,-11.4%,-27.8%,179,-16.0%,-5.3%,60,26,-8,99.9%,-0.0%,0.1%
,January 2017,$209K,3.5%,25.2%,35,-47.8%,6.1%,29,-25.6%,-9.4%,184,2.8%,1.1%,22,-38,-262,99.2%,-0.7%,-0.8%
,February 2017,$195K,-6.7%,1.3%,30,-14.3%,-25.0%,34,17.2%,-15.0%,177,-3.8%,9.9%,56,34,-2,99.1%,-0.1%,-0.7%
,March 2017,$211K,8.4%,21.1%,46,53.3%,-22.0%,80,135.3%,15.9%,182,2.8%,12.3%,22,-34,-88,100.3%,1.2%,0.3%
,April 2017,$204K,-3.4%,20.2%,59,28.3%,-6.3%,74,-7.5%,64.4%,172,-5.5%,8.2%,156,134,112,100.9%,0.6%,1.0%
,May 2017,$216K,5.6%,14.5%,60,1.7%,0.0%,82,10.8%,-18.8%,171,-0.6%,-8.1%,16,-140,-22,100.3%,-0.6%,0.0%
,June 2017,$220K,2.0%,17.6%,73,21.7%,23.7%,71,-13.4%,-4.1%,156,-8.8%,-19.6%,30,14,8,99.3%,-1.0%,-1.1%
,July 2017,$210K,-4.8%,17.0%,76,4.1%,10.1%,88,23.9%,27.5%,176,12.8%,-15.0%,23,-7,9,100.5%,1.2%,0.4%
,August 2017,$225K,7.4%,12.7%,67,-11.8%,19.6%,90,2.3%,63.6%,186,5.7%,-14.3%,33,10,3,100.2%,-0.3%,0.2%
,September 2017,$202K,-10.0%,1.2%,70,4.5%,22.8%,84,-6.7%,35.5%,195,4.8%,-12.2%,18,-15,-27,99.8%,-0.4%,-0.1%
,October 2017,$227K,12.3%,14.5%,68,-2.9%,30.8%,47,-44.0%,2.2%,189,-3.1%,-10.4%,43,25,9,99.8%,0.0%,-0.7%
,November 2017,$203K,-10.8%,-7.4%,59,-13.2%,-6.3%,51,8.5%,15.9%,190,0.5%,-10.8%,24,-19,-10,99.6%,-0.2%,-0.3%
,December 2017,$225K,10.8%,11.4%,57,-3.4%,-14.9%,49,-3.9%,25.6%,189,-0.5%,5.6%,33,9,-27,99.9%,0.2%,-0.1%
,January 2018,$233K,3.6%,11.5%,48,-15.8%,37.1%,53,8.2%,82.8%,182,-3.7%,-1.1%,68,35,46,100.0%,0.2%,0.9%
,February 2018,$239K,2.7%,22.7%,53,10.4%,76.7%,50,-5.7%,47.1%,170,-6.6%,-4.0%,44,-24,-12,100.6%,0.5%,1.5%
,March 2018,$250K,4.3%,18.0%,65,22.6%,41.3%,64,28.0%,-20.0%,148,-12.9%,-18.7%,105,61,83,99.8%,-0.7%,-0.5%
,April 2018,$232K,-7.2%,13.3%,52,-20.0%,-11.9%,70,9.4%,-5.4%,168,13.5%,-2.3%,17,-88,-139,101.1%,1.3%,0.2%
,May 2018,$244K,5.4%,13.1%,78,50.0%,30.0%,77,10.0%,-6.1%,183,8.9%,7.0%,67,50,51,100.3%,-0.8%,-0.0%
,June 2018,$250K,2.4%,13.6%,87,11.5%,19.2%,93,20.8%,31.0%,211,15.3%,35.3%,48,-19,18,100.4%,0.2%,1.1%
,July 2018,$259K,3.6%,23.6%,81,-6.9%,6.6%,61,-34.4%,-30.7%,205,-2.8%,16.5%,52,4,29,100.1%,-0.4%,-0.4%
,August 2018,$259K,0.0%,15.1%,81,0.0%,20.9%,100,63.9%,11.1%,227,10.7%,22.0%,62,10,29,100.3%,0.2%,0.1%
,September 2018,$258K,-0.2%,27.7%,68,-16.0%,-2.9%,87,-13.0%,3.6%,241,6.2%,23.6%,89,27,71,100.1%,-0.1%,0.4%
,October 2018,$258K,-0.1%,13.5%,79,16.2%,16.2%,52,-40.2%,10.6%,215,-10.8%,13.8%,35,-54,-8,99.9%,-0.2%,0.1%
,November 2018,$270K,4.5%,33.0%,70,-11.4%,18.6%,89,71.2%,74.5%,221,2.8%,16.3%,77,42,53,99.1%,-0.8%,-0.5%
,December 2018,$259K,-4.0%,15.3%,60,-14.3%,5.3%,69,-22.5%,40.8%,224,1.4%,18.5%,68,-9,35,100.0%,0.9%,0.1%
,January 2019,$270K,4.1%,15.9%,49,-18.3%,2.1%,74,7.2%,39.6%,205,-8.5%,12.6%,86,18,18,100.4%,0.4%,0.4%
,February 2019,$267K,-1.1%,11.6%,76,55.1%,43.4%,79,6.8%,58.0%,200,-2.4%,17.6%,102,16,58,100.1%,-0.3%,-0.5%
,March 2019,$272K,2.1%,9.2%,78,2.6%,20.0%,99,25.3%,54.7%,191,-4.5%,29.1%,69,-33,-36,100.1%,0.0%,0.3%
,April 2019,$269K,-1.2%,16.3%,84,7.7%,61.5%,115,16.2%,64.3%,206,7.9%,22.6%,44,-25,27,100.0%,-0.1%,-1.1%
,May 2019,$278K,3.3%,14.0%,106,26.2%,35.9%,129,12.2%,67.5%,237,15.0%,29.5%,31,-13,-36,100.2%,0.1%,-0.1%
,June 2019,$282K,1.4%,12.9%,98,-7.5%,12.6%,103,-20.2%,10.8%,249,5.1%,18.0%,28,-3,-20,100.5%,0.3%,0.0%
,July 2019,$280K,-0.8%,8.1%,116,18.4%,43.2%,102,-1.0%,67.2%,239,-4.0%,16.6%,36,8,-16,100.1%,-0.4%,0.0%
,August 2019,$280K,0.0%,8.1%,95,-18.1%,17.3%,103,1.0%,3.0%,256,7.1%,12.8%,25,-11,-37,99.9%,-0.2%,-0.4%
,September 2019,$280K,0.0%,8.4%,78,-17.9%,14.7%,89,-13.6%,2.3%,268,4.7%,11.2%,48,23,-41,99.9%,-0.0%,-0.3%
,October 2019,$277K,-1.0%,7.4%,94,20.5%,19.0%,98,10.1%,88.5%,280,4.5%,30.2%,85,37,50,100.0%,0.2%,0.1%
,November 2019,$292K,5.3%,8.2%,84,-10.6%,20.0%,69,-29.6%,-22.5%,269,-3.9%,21.7%,65,-20,-12,100.1%,0.0%,1.0%
,December 2019,$290K,-0.7%,11.9%,87,3.6%,45.0%,65,-5.8%,-5.8%,256,-4.8%,14.3%,77,12,9,99.6%,-0.5%,-0.4%
,January 2020,$282K,-2.6%,4.6%,70,-19.5%,42.9%,84,29.2%,13.5%,243,-5.1%,18.5%,78,1,-8,99.5%,-0.1%,-0.9%
,February 2020,$305K,8.0%,14.3%,91,30.0%,19.7%,93,10.7%,17.7%,216,-11.1%,8.0%,85,7,-17,99.7%,0.2%,-0.4%
,March 2020,$300K,-1.6%,10.1%,89,-2.2%,14.1%,90,-3.2%,-9.1%,219,1.4%,14.7%,58,-27,-11,100.2%,0.5%,0.0%
,April 2020,$317K,5.7%,17.7%,81,-9.0%,-3.6%,86,-4.4%,-25.2%,224,2.3%,8.7%,49,-9,5,100.2%,0.1%,0.2%
,May 2020,$305K,-3.8%,9.6%,86,6.2%,-18.9%,127,47.7%,-1.6%,238,6.3%,0.4%,26,-23,-5,99.9%,-0.3%,-0.2%
,June 2020,$323K,6.0%,14.6%,116,34.9%,18.4%,108,-15.0%,4.9%,214,-10.1%,-14.1%,39,13,11,99.9%,-0.0%,-0.5%
,July 2020,$345K,6.7%,23.2%,126,8.6%,8.6%,119,10.2%,16.7%,196,-8.4%,-18.0%,39,0,3,99.8%,-0.1%,-0.3%
,August 2020,$333K,-3.3%,19.1%,122,-3.2%,28.4%,112,-5.9%,8.7%,182,-7.1%,-28.9%,17,-22,-8,100.3%,0.5%,0.4%
,September 2020,$331K,-0.7%,18.2%,119,-2.5%,52.6%,115,2.7%,29.2%,181,-0.5%,-32.5%,22,5,-26,100.4%,0.1%,0.5%
,October 2020,$355K,7.2%,28.0%,121,1.7%,28.7%,154,33.9%,57.1%,224,23.8%,-20.0%,33,11,-52,99.9%,-0.5%,-0.1%
,November 2020,$363K,2.4%,24.5%,103,-14.9%,22.6%,86,-44.2%,24.6%,224,0.0%,-16.7%,24,-9,-41,99.9%,0.0%,-0.2%
,December 2020,$383K,5.3%,32.0%,90,-12.6%,3.4%,91,5.8%,40.0%,225,0.4%,-12.1%,28,4,-49,99.7%,-0.2%,0.1%
,January 2021,$420K,9.7%,48.7%,89,-1.1%,27.1%,93,2.2%,10.7%,213,-5.3%,-12.3%,34,6,-44,99.1%,-0.6%,-0.4%
,February 2021,$400K,-4.8%,31.2%,92,3.4%,1.1%,98,5.4%,5.4%,207,-2.8%,-4.2%,34,0,-51,100.0%,0.9%,0.4%
,March 2021,$419K,4.7%,39.6%,130,41.3%,46.1%,118,20.4%,31.1%,207,0.0%,-5.5%,37,3,-21,100.2%,0.2%,0.1%
,April 2021,$417K,-0.5%,31.4%,134,3.1%,65.4%,103,-12.7%,19.8%,197,-4.8%,-12.1%,14,-23,-35,101.0%,0.8%,0.8%
,May 2021,$441K,5.9%,44.6%,105,-21.6%,22.1%,102,-1.0%,-19.7%,191,-3.0%,-19.7%,18,4,-8,101.5%,0.5%,1.5%
,June 2021,$452K,2.4%,39.8%,117,11.4%,0.9%,123,20.6%,13.9%,202,5.8%,-5.6%,11,-7,-28,101.4%,-0.1%,1.5%
,July 2021,$476K,5.3%,37.9%,104,-11.1%,-17.5%,152,23.6%,27.7%,247,22.3%,26.0%,13,2,-26,101.1%,-0.3%,1.3%
,August 2021,$462K,-3.0%,38.5%,95,-8.7%,-22.1%,107,-29.6%,-4.5%,223,-9.7%,22.5%,14,1,-3,100.7%,-0.4%,0.4%
,September 2021,$455K,-1.4%,37.4%,115,21.1%,-3.4%,116,8.4%,0.9%,216,-3.1%,19.3%,23,9,1,99.9%,-0.8%,-0.5%
,October 2021,$465K,2.1%,30.8%,108,-6.1%,-10.7%,80,-31.0%,-48.1%,187,-13.4%,-16.5%,31,8,-2,99.7%,-0.2%,-0.2%
,November 2021,$470K,1.3%,29.4%,72,-33.3%,-30.1%,101,26.3%,17.4%,187,0.0%,-16.5%,28,-3,4,99.6%,-0.1%,-0.3%
,December 2021,$452K,-3.9%,18.1%,104,44.4%,15.6%,66,-34.7%,-27.5%,127,-32.1%,-43.6%,35,7,7,99.8%,0.3%,0.1%
,January 2022,$480K,6.2%,14.3%,65,-37.5%,-27.0%,89,34.8%,-4.3%,127,0.0%,-40.4%,37,2,3,99.6%,-0.3%,0.5%
,February 2022,$484K,1.0%,21.1%,74,13.8%,-19.6%,83,-6.7%,-15.3%,131,3.1%,-36.7%,36,-1,2,100.2%,0.6%,0.1%
,March 2022,$477K,-1.5%,14.0%,74,0.0%,-43.1%,108,30.1%,-8.5%,140,6.9%,-32.4%,29,-7,-8,100.5%,0.3%,0.2%
,April 2022,$492K,3.2%,18.2%,108,45.9%,-19.4%,100,-7.4%,-2.9%,170,21.4%,-13.7%,20,-9,6,100.6%,0.1%,-0.4%
,May 2022,$490K,-0.5%,11.1%,95,-12.0%,-9.5%,97,-3.0%,-4.9%,186,9.4%,-2.6%,29,9,11,100.2%,-0.4%,-1.2%
,June 2022,$475K,-3.1%,5.1%,88,-7.4%,-24.8%,138,42.3%,12.2%,265,42.5%,31.2%,27,-2,16,99.9%,-0.3%,-1.5%
,July 2022,$483K,1.7%,1.5%,63,-28.4%,-39.4%,82,-40.6%,-46.1%,271,2.3%,9.7%,25,-2,12,99.8%,-0.1%,-1.3%
,August 2022,$483K,-0.0%,4.6%,66,4.8%,-30.5%,80,-2.4%,-25.2%,272,0.4%,22.0%,48,23,34,99.5%,-0.3%,-1.3%
,September 2022,$438K,-9.4%,-3.9%,81,22.7%,-29.6%,84,5.0%,-27.6%,265,-2.6%,22.7%,50,2,27,99.3%,-0.2%,-0.6%
,October 2022,$458K,4.7%,-1.4%,78,-3.7%,-27.8%,49,-41.7%,-38.8%,249,-6.0%,33.2%,61,11,30,98.8%,-0.5%,-0.9%
,November 2022,$472K,3.0%,0.3%,39,-50.0%,-45.8%,35,-28.6%,-65.3%,247,-0.8%,32.1%,60,-1,32,98.0%,-0.8%,-1.6%
,December 2022,$467K,-1.0%,3.4%,46,17.9%,-55.8%,34,-2.9%,-48.5%,233,-5.7%,83.5%,83,23,48,97.6%,-0.4%,-2.2%
,January 2023,$405K,-13.4%,-15.6%,44,-4.3%,-32.3%,40,17.6%,-55.1%,168,-27.9%,32.3%,141,58,104,98.9%,1.3%,-0.7%
,February 2023,$405K,-0.0%,-16.4%,76,72.7%,2.7%,53,32.5%,-36.1%,129,-23.2%,-1.5%,134,-7,98,98.9%,0.0%,-1.3%
,March 2023,$385K,-4.9%,-19.4%,97,27.6%,31.1%,49,-7.5%,-54.6%,103,-20.2%,-26.4%,101,-33,72,99.4%,0.5%,-1.0%
,April 2023,$427K,11.0%,-13.2%,80,-17.5%,-25.9%,49,0.0%,-51.0%,99,-3.9%,-41.8%,92,-9,72,99.7%,0.3%,-0.9%
,May 2023,$430K,0.7%,-12.1%,42,-47.5%,-55.8%,55,12.2%,-43.3%,90,-9.1%,-51.6%,41,-51,12,100.1%,0.4%,-0.1%
,June 2023,$449K,4.4%,-5.4%,60,42.9%,-31.8%,60,9.1%,-56.5%,102,13.3%,-61.5%,21,-20,-6,99.9%,-0.2%,-0.0%
,July 2023,$470K,4.6%,-2.7%,47,-21.7%,-25.4%,58,-3.3%,-29.3%,114,11.8%,-57.9%,22,1,-3,99.7%,-0.1%,-0.1%
,August 2023,$452K,-3.7%,-6.3%,44,-6.4%,-33.3%,55,-5.2%,-31.3%,132,15.8%,-51.5%,26,4,-22,99.9%,0.2%,0.5%
,September 2023,$430K,-5.0%,-1.7%,31,-29.5%,-61.7%,49,-10.9%,-41.7%,141,6.8%,-46.8%,19,-7,-31,99.0%,-0.9%,-0.3%
,October 2023,$490K,14.0%,7.0%,44,41.9%,-43.6%,53,8.2%,8.2%,124,-12.1%,-50.2%,37,18,-24,99.2%,0.2%,0.4%
,November 2023,$445K,-9.2%,-5.7%,41,-6.8%,5.1%,33,-37.7%,-5.7%,116,-6.5%,-53.0%,36,-1,-24,99.1%,-0.1%,1.2%
,December 2023,$458K,2.8%,-2.1%,42,2.4%,-8.7%,48,45.5%,41.2%,118,1.7%,-49.4%,59,23,-24,99.5%,0.4%,1.9%
,January 2024,$447K,-2.2%,10.5%,40,-4.8%,-9.1%,26,-45.8%,-35.0%,92,-22.0%,-45.2%,73,14,-68,98.5%,-1.0%,-0.4%
,February 2024,$465K,3.9%,14.8%,52,30.0%,-31.6%,47,80.8%,-11.3%,100,8.7%,-22.5%,75,2,-59,99.6%,1.1%,0.7%
